-0.515990,0.079103
-0.512979,0.081973
-0.509863,0.084389
-0.505868,0.083055
-0.501816,0.082483
-0.497659,0.083303
-0.493501,0.084124
-0.489343,0.084944
-0.488091,0.085456
-0.492299,0.085388
-0.495919,0.083501
-0.499379,0.081220
-0.502613,0.078686
-0.506149,0.077333
-0.510170,0.077868
-0.513456,0.076280
-0.516323,0.073483
-0.519671,0.071497
-0.523379,0.070117
-0.527233,0.069655
-0.531133,0.069487
-0.533305,0.066547
-0.535223,0.063202
-0.537141,0.059856
-0.540633,0.060756
-0.544241,0.061968
-0.547833,0.062330
-0.551413,0.062134
-0.554994,0.061937
-0.558574,0.061741
-0.562155,0.061544
-0.565735,0.061348
-0.569316,0.061151
-0.572896,0.060955
-0.576477,0.060758
-0.580057,0.060562
-0.583638,0.060365
-0.584075,0.060859
-0.580906,0.062146
-0.577737,0.063432
-0.575025,0.065511
-0.572459,0.067845
-0.569894,0.070179
-0.566791,0.069544
-0.563553,0.068160
-0.560315,0.066776
-0.557162,0.067916
-0.554028,0.069639
-0.550744,0.071017
-0.547204,0.071806
-0.543941,0.072940
-0.542478,0.076308
-0.541014,0.079675
-0.539551,0.083043
-0.537775,0.084043
-0.535478,0.081107
-0.533181,0.078172
-0.530884,0.075236
-0.528587,0.072301
-0.525374,0.070431
-0.521940,0.068818
-0.518361,0.067626
-0.514540,0.067133
-0.511455,0.068187
-0.509461,0.071540
-0.507468,0.074894
-0.504344,0.074910
-0.500699,0.073385
-0.496930,0.073472
-0.493083,0.074594
-0.489849,0.077010
-0.486673,0.079544
-0.483623,0.082291
-0.480526,0.085006
-0.477325,0.087650
-0.474064,0.090265
-0.470763,0.092861
-0.466571,0.092755
-0.462351,0.092563
-0.458132,0.092372
-0.453912,0.092180
-0.456668,0.091636
-0.460162,0.089883
-0.462834,0.086709
-0.465696,0.083752
-0.468705,0.080962
-0.472217,0.078978
-0.475814,0.077136
-0.479168,0.074948
-0.482776,0.073578
-0.486718,0.073275
-0.490519,0.072408
-0.494261,0.071394
-0.496346,0.074613
-0.498432,0.077832
